Index,City1,City2,Distance
0.0,Lisbon,Madrid,503.86096214002487
1.0,Moscow,Leverkusen,2085.4355821141157
2.0,Prague,London,1037.0816328375377
3.0,Donetsk,Rome,2099.1813172221773
4.0,Valencia,Piraeus,2090.286014899189
5.0,Lyon,Heerenveen,809.1457118361396
6.0,Glasgow,Graz,1672.138394433866
7.0,Istanbul,Monaco,1795.2713246951737
8.0,Hamburg,Turin,958.1983815244744
9.0,Athens,A Coruña,6389.047377761582
10.0,Helsingborg,Munich,883.1727167145451
11.0,Trondheim,Paris,1695.1320105529524
12.0,Eindhoven,Kyiv,1755.0561594162
13.0,Manchester,Anderlecht,537.0360321599899
14.0,Milan,Istanbul,1676.7712561168985
15.0,Barcelona,Leeds,1407.855670096393
16.0,A Coruña,Hamburg,1760.6838376620867
17.0,Turin,Athens,7509.66845577998
18.0,Munich,Trondheim,1704.2287699089536
19.0,Paris,Helsingborg,1064.324265717083
20.0,Kyiv,Manchester,2256.8239791973
21.0,Anderlecht,Eindhoven,104.51838023526985
22.0,Leeds,Milan,1205.7368825758372
23.0,Istanbul,Barcelona,2239.433559247469
24.0,Leverkusen,Lisbon,1862.6062009824043
25.0,Madrid,Moscow,3447.87078575145
26.0,Rome,Prague,922.9971673843364
27.0,London,Donetsk,2730.194403194885
28.0,Heerenveen,Valencia,1578.8273211803332
29.0,Piraeus,Lyon,1781.0138762035822
30.0,Graz,Istanbul,1274.617980957231
31.0,Monaco,Glasgow,1584.7870766821798
32.0,Turin,A Coruña,1296.3739935611186
33.0,Hamburg,Athens,7260.963736467394
34.0,Paris,Munich,688.266160735258
35.0,Trondheim,Helsingborg,832.9197445726007
36.0,Kyiv,Anderlecht,1843.5800170540456
37.0,Eindhoven,Manchester,571.6047583158241
38.0,Leeds,Istanbul,2675.943191342811
39.0,Barcelona,Milan,726.1898630174524
40.0,Moscow,Lisbon,3915.278759396778
41.0,Leverkusen,Madrid,1440.698235935727
42.0,Prague,Donetsk,1717.2465408434407
43.0,London,Rome,1435.015631182323
44.0,Piraeus,Heerenveen,2160.4122776400627
45.0,Valencia,Lyon,818.4376414305747
46.0,Monaco,Graz,728.1819177610812
47.0,Istanbul,Glasgow,2918.000556615662
48.0,Lisbon,Moscow,3915.278759396778
49.0,Madrid,Leverkusen,1440.698235935727
50.0,Donetsk,Prague,1717.2465408434407
51.0,Rome,London,1435.015631182323
52.0,Heerenveen,Piraeus,2160.4122776400627
53.0,Lyon,Valencia,818.4376414305747
54.0,Graz,Monaco,728.1819177610812
55.0,Glasgow,Istanbul,2918.000556615662
56.0,A Coruña,Turin,1296.3739935611186
57.0,Athens,Hamburg,7260.963736467394
58.0,Helsingborg,Trondheim,832.9197445726007
59.0,Munich,Paris,688.266160735258
60.0,Anderlecht,Kyiv,1843.5800170540456
61.0,Manchester,Eindhoven,571.6047583158241
62.0,Istanbul,Leeds,2675.943191342811
63.0,Milan,Barcelona,726.1898630174524
64.0,Turin,Hamburg,958.1983815244744
65.0,A Coruña,Athens,6389.047377761582
66.0,Munich,Helsingborg,883.1727167145451
68.0,Kyiv,Eindhoven,1755.0561594162
69.0,Anderlecht,Manchester,537.0360321599899
70.0,Istanbul,Milan,1676.7712561168985
71.0,Leeds,Barcelona,1407.855670096393
72.0,Madrid,Lisbon,503.86096214002487
73.0,Leverkusen,Moscow,2085.4355821141157
74.0,Rome,Donetsk,2099.1813172221773
75.0,London,Prague,1037.0816328375377
76.0,Piraeus,Valencia,2090.286014899189
77.0,Heerenveen,Lyon,809.1457118361396
78.0,Graz,Glasgow,1672.138394433866
79.0,Monaco,Istanbul,1795.2713246951737
80.0,Moscow,Madrid,3447.87078575145
81.0,Lisbon,Leverkusen,1862.6062009824043
82.0,Donetsk,London,2730.194403194885
83.0,Prague,Rome,922.9971673843364
84.0,Valencia,Heerenveen,1578.8273211803332
85.0,Lyon,Piraeus,1781.0138762035822
86.0,Glasgow,Monaco,1584.7870766821798
87.0,Istanbul,Graz,1274.617980957231
88.0,Athens,Turin,7509.66845577998
89.0,Hamburg,A Coruña,1760.6838376620867
90.0,Helsingborg,Paris,1064.324265717083
91.0,Trondheim,Munich,1704.2287699089536
92.0,Manchester,Kyiv,2256.8239791973
93.0,Eindhoven,Anderlecht,104.51838023526985
94.0,Milan,Leeds,1205.7368825758372
95.0,Barcelona,Istanbul,2239.433559247469
96.0,Valencia,Graz,1532.210414778241
97.0,Manchester,Athens,6500.866327961337
98.0,Paris,A Coruña,1027.149912942109
99.0,Milan,Istanbul,1676.7712561168985
100.0,Moscow,London,2510.521986900203
101.0,Munich,Lyon,577.224107008775
102.0,Anderlecht,Rome,1174.164096867216
103.0,Leeds,Madrid,1496.3904851123025
104.0,London,Munich,920.8577000712282
105.0,Lyon,Moscow,2534.9559610906026
106.0,Rome,Leeds,1683.0095306852236
107.0,Madrid,Anderlecht,1315.0916976631245
108.0,Athens,Valencia,7169.837538691743
109.0,Graz,Manchester,1442.5233023189392
110.0,A Coruña,Milan,1416.758845173037
111.0,Istanbul,Paris,2263.0417551861133
112.0,Lyon,London,734.9863653552857
113.0,Munich,Moscow,1965.276673273328
114.0,Leeds,Anderlecht,518.1368886074629
115.0,Madrid,Rome,1366.4466723813912
116.0,Valencia,Manchester,1563.7884385593045
117.0,Graz,Athens,7934.529940441243
118.0,Milan,Paris,642.832744844901
119.0,Istanbul,A Coruña,3072.3941651106697
120.0,Athens,Graz,7934.529940441243
121.0,Manchester,Valencia,1563.7884385593045
122.0,A Coruña,Istanbul,3072.3941651106697
123.0,Paris,Milan,642.832744844901
124.0,London,Lyon,734.9863653552857
125.0,Moscow,Munich,1965.276673273328
126.0,Rome,Madrid,1366.4466723813912
127.0,Anderlecht,Leeds,518.1368886074629
128.0,Lyon,Munich,577.224107008775
129.0,London,Moscow,2510.521986900203
130.0,Rome,Anderlecht,1174.164096867216
131.0,Madrid,Leeds,1496.3904851123025
132.0,Graz,Valencia,1532.210414778241
133.0,Athens,Manchester,6500.866327961337
134.0,A Coruña,Paris,1027.149912942109
135.0,Istanbul,Milan,1676.7712561168985
136.0,Valencia,Athens,7169.837538691743
137.0,Manchester,Graz,1442.5233023189392
138.0,Paris,Istanbul,2263.0417551861133
139.0,Milan,A Coruña,1416.758845173037
140.0,Munich,London,920.8577000712282
141.0,Moscow,Lyon,2534.9559610906026
142.0,Leeds,Rome,1683.0095306852236
143.0,Anderlecht,Madrid,1315.0916976631245
144.0,Manchester,Munich,1138.2571271165543
145.0,Istanbul,Madrid,2745.9867155026723
146.0,London,Valencia,1335.9963143559005
147.0,Leeds,A Coruña,1263.4299358021124
148.0,Valencia,London,1335.9963143559005
149.0,A Coruña,Leeds,1263.4299358021124
150.0,Madrid,Istanbul,2745.9867155026723
151.0,Munich,Manchester,1138.2571271165543
152.0,Madrid,Munich,1486.857766661241
153.0,Leeds,Valencia,1595.166877106787
154.0,Valencia,Leeds,1595.166877106787
155.0,Munich,Madrid,1486.857766661241
156.0,Munich,Valencia,1357.98981088621
157.0,Moscow,Anderlecht,2262.022023588196
158.0,Rome,Madrid,1366.4466723813912
159.0,Kyiv,Dortmund,1616.878918408964
160.0,Liverpool,Porto,1426.4194925839552
161.0,Palma,London,1342.3803583055228
162.0,Gelsenkirchen,Athens,7171.426879822169
163.0,Nantes,Eindhoven,693.4536183499495
164.0,Istanbul,Rome,1379.540555428866
165.0,Turin,Celtic,1462.248840083518
166.0,Trondheim,Porto,2773.040580948179
167.0,Istanbul,Barcelona,2239.433559247469
168.0,Lyon,Leverkusen,607.8028830960116
169.0,A Coruña,Piraeus,2758.015151229109
170.0,Manchester,Lille,482.1021825271699
171.0,Moscow,Rotterdam,2200.532418667624
172.0,Munich,Prague,300.31465719608
173.0,Madrid,Moscow,3447.87078575145
174.0,Anderlecht,Rome,1174.164096867216
175.0,Dortmund,Liverpool,740.5394114971001
176.0,Porto,Kyiv,3170.6026198835443
177.0,London,Gelsenkirchen,502.5528268222109
178.0,Athens,Palma,7401.475417012298
179.0,Rome,Nantes,1259.956644628378
180.0,Eindhoven,Istanbul,2137.362033188905
181.0,Celtic,Porto,1665.9024430431498
182.0,Trondheim,Turin,2051.0771420080137
183.0,Leverkusen,Barcelona,1134.402395442215
184.0,Istanbul,Lyon,2017.786123116756
185.0,A Coruña,Manchester,1211.6138089520105
186.0,Lille,Piraeus,2152.0900514611835
187.0,Prague,Rotterdam,726.5575450481468
188.0,Moscow,Munich,1965.276673273328
189.0,Madrid,Anderlecht,1315.0916976631245
190.0,Rome,Moscow,2380.8100829710124
191.0,Liverpool,Kyiv,2306.9503342057565
192.0,Porto,Dortmund,1684.1545248455632
193.0,Athens,London,6702.134904416533
194.0,Gelsenkirchen,Palma,1371.203607703887
195.0,Eindhoven,Rome,1187.559136404654
196.0,Nantes,Istanbul,2521.5847915518084
197.0,Celtic,Trondheim,1174.35716935193
198.0,Porto,Turin,1392.955264059955
199.0,Barcelona,Lyon,531.1909499761093
200.0,Leverkusen,Istanbul,2022.655146045661
201.0,Lille,A Coruña,1185.7620074869449
202.0,Piraeus,Manchester,2628.101457392083
203.0,Rotterdam,Munich,659.8407647904885
204.0,Prague,Moscow,1672.7065069406603
206.0,Anderlecht,Madrid,1315.0916976631245
207.0,Kyiv,Liverpool,2306.9503342057565
208.0,Dortmund,Porto,1684.1545248455632
209.0,Palma,Gelsenkirchen,1371.203607703887
210.0,London,Athens,6702.134904416533
211.0,Istanbul,Nantes,2521.5847915518084
212.0,Rome,Eindhoven,1187.559136404654
213.0,Turin,Trondheim,2051.0771420080137
214.0,Porto,Celtic,1665.9024430431498
215.0,Barcelona,Leverkusen,1134.402395442215
216.0,Lyon,Istanbul,2017.786123116756
217.0,Manchester,A Coruña,1211.6138089520105
218.0,Piraeus,Lille,2152.0900514611835
219.0,Rotterdam,Prague,726.5575450481468
220.0,Munich,Moscow,1965.276673273328
221.0,Trondheim,Celtic,1174.35716935193
222.0,Turin,Porto,1392.955264059955
223.0,Istanbul,Leverkusen,2022.655146045661
224.0,Lyon,Barcelona,531.1909499761093
225.0,Manchester,Piraeus,2628.101457392083
226.0,A Coruña,Lille,1185.7620074869449
227.0,Munich,Rotterdam,659.8407647904885
228.0,Moscow,Prague,1672.7065069406603
229.0,Madrid,Rome,1366.4466723813912
230.0,Anderlecht,Moscow,2262.022023588196
231.0,Dortmund,Kyiv,1616.878918408964
232.0,Porto,Liverpool,1426.4194925839552
233.0,Athens,Gelsenkirchen,7171.426879822169
234.0,London,Palma,1342.3803583055228
235.0,Rome,Istanbul,1379.540555428866
236.0,Eindhoven,Nantes,693.4536183499495
237.0,Moscow,Madrid,3447.87078575145
238.0,Rome,Anderlecht,1174.164096867216
239.0,Kyiv,Porto,3170.6026198835443
240.0,Liverpool,Dortmund,740.5394114971001
241.0,Palma,Athens,7401.475417012298
242.0,Gelsenkirchen,London,502.5528268222109
243.0,Nantes,Rome,1259.956644628378
244.0,Istanbul,Eindhoven,2137.362033188905
245.0,Porto,Trondheim,2773.040580948179
246.0,Celtic,Turin,1462.248840083518
247.0,Barcelona,Istanbul,2239.433559247469
248.0,Leverkusen,Lyon,607.8028830960116
249.0,Piraeus,A Coruña,2758.015151229109
250.0,Lille,Manchester,482.1021825271699
251.0,Rotterdam,Moscow,2200.532418667624
252.0,Prague,Munich,300.31465719608
253.0,Porto,Nantes,878.5292480220044
254.0,Munich,Manchester,1138.2571271165543
255.0,Istanbul,Rome,1379.540555428866
256.0,Liverpool,Barcelona,1391.6961926499137
257.0,Prague,Madrid,1775.2311890546116
258.0,Athens,Porto,6450.683427041571
259.0,A Coruña,London,1094.9504460656551
260.0,Turin,Leverkusen,665.2329271462498
261.0,Madrid,Athens,6867.027780315794
262.0,Porto,Prague,2040.6787525851776
263.0,Leverkusen,A Coruña,1438.9887050822706
264.0,London,Turin,919.4240468814784
265.0,Manchester,Porto,1451.406721035349
266.0,Nantes,Munich,989.9296688854378
267.0,Rome,Liverpool,1721.8713879794377
268.0,Barcelona,Istanbul,2239.433559247469
269.0,Madrid,Porto,422.0741478789785
270.0,Prague,Athens,7705.023086583827
271.0,Turin,A Coruña,1296.3739935611186
272.0,Leverkusen,London,500.2347374557395
273.0,Porto,Munich,1772.5618082965302
274.0,Nantes,Manchester,698.1546321779286
275.0,Barcelona,Rome,859.9883684974346
276.0,Liverpool,Istanbul,2753.303901076302
277.0,Manchester,Nantes,698.1546321779286
278.0,Munich,Porto,1772.5618082965302
279.0,Rome,Barcelona,859.9883684974346
280.0,Istanbul,Liverpool,2753.303901076302
281.0,Athens,Prague,7708.0858021307395
282.0,Porto,Madrid,422.0741478789785
283.0,London,Leverkusen,500.2347374557395
284.0,A Coruña,Turin,1296.3739935611186
285.0,Madrid,Prague,1775.229908610687
286.0,Porto,Athens,6450.683427041571
287.0,Leverkusen,Turin,665.2329271462498
288.0,London,A Coruña,1094.9504460656551
289.0,Manchester,Munich,1138.2571271165543
290.0,Nantes,Porto,878.5292480220044
291.0,Rome,Istanbul,1384.6250430278913
292.0,Barcelona,Liverpool,1391.6961926499137
293.0,Porto,Manchester,1451.406721035349
294.0,Munich,Nantes,989.9296688854378
295.0,Istanbul,Barcelona,2244.442507610628
296.0,Liverpool,Rome,1721.8713879794377
297.0,Athens,Madrid,6867.027780315794
298.0,Prague,Porto,2041.3016211621373
299.0,Turin,London,919.4240468814784
300.0,A Coruña,Leverkusen,1438.9887050822706
301.0,Munich,Madrid,1486.857766661241
302.0,A Coruña,Manchester,1211.6138089520105
303.0,Athens,Barcelona,7280.0193941143
304.0,Liverpool,Leverkusen,730.6526059079143
305.0,Leverkusen,Liverpool,730.6526059079143
306.0,Barcelona,Athens,7280.0193941143
307.0,Manchester,A Coruña,1211.6138089520105
308.0,Madrid,Munich,1486.857766661241
309.0,Barcelona,Madrid,506.9220157558605
310.0,Manchester,Leverkusen,686.1222677835639
311.0,Leverkusen,Manchester,686.1222677835639
312.0,Madrid,Barcelona,506.9220157558605
313.0,Madrid,Leverkusen,1440.698235935727
314.0,London,Dortmund,528.1447595498703
315.0,Auxerre,Eindhoven,428.2906717534374
316.0,Basel,Moscow,2246.3841993858887
317.0,Valencia,Liverpool,1561.9913367814363
318.0,Rome,Madrid,1366.4466723813912
319.0,Genk,Athens,7092.03793497089
320.0,Amsterdam,Lyon,735.7024626420092
321.0,Trondheim,Milan,2001.2729656494016
322.0,Rotterdam,Turin,798.1952033726983
323.0,Kyiv,Newcastle,2208.405860098126
324.0,Manchester,Haifa,3732.084505902637
325.0,Piraeus,Leverkusen,1958.484676556869
326.0,Munich,A Coruña,1636.0896345651624
327.0,Milan,Lens,727.6882936015145
328.0,Moscow,Istanbul,1747.4061354783614
329.0,Barcelona,Bruges,1095.1476720305354
330.0,Newcastle,Rotterdam,527.8152408426556
331.0,Turin,Kyiv,1805.3731237461857
332.0,Leverkusen,Manchester,686.1222677835639
333.0,Haifa,Piraeus,1176.4581502605452
334.0,A Coruña,Milan,1416.758845173037
335.0,Lens,Munich,684.7810753947023
336.0,Bruges,Moscow,2312.917105887683
337.0,Istanbul,Barcelona,2244.442507610628
338.0,Eindhoven,London,388.6584492945364
339.0,Dortmund,Auxerre,499.93841353108417
340.0,Moscow,Valencia,3319.4962960121875
341.0,Liverpool,Basel,991.7440302266448
342.0,Athens,Rome,8017.966811671791
343.0,Madrid,Genk,1371.8519343101575
344.0,Milan,Amsterdam,829.9927167681709
345.0,Lyon,Trondheim,1997.983003636391
346.0,Rotterdam,Kyiv,1818.5729885714936
347.0,Turin,Newcastle,1285.0804275019402
348.0,Haifa,Leverkusen,3047.2231771990632
349.0,Manchester,Piraeus,2628.101457392083
350.0,A Coruña,Lens,1158.5655430970114
351.0,Munich,Milan,348.471098002077
352.0,Istanbul,Bruges,2273.8836613644985
353.0,Moscow,Barcelona,3016.058738214051
354.0,Auxerre,London,490.47518769885033
355.0,Eindhoven,Dortmund,140.176556405236
356.0,Liverpool,Moscow,2600.7790184225137
357.0,Valencia,Basel,1104.2556926006607
358.0,Genk,Rome,1141.1633133265989
359.0,Athens,Madrid,6867.027780315794
360.0,Trondheim,Amsterdam,1272.8526412012604
361.0,Milan,Lyon,341.4332632111912
362.0,Dortmund,Eindhoven,140.176556405236
363.0,London,Auxerre,490.47518769885033
364.0,Moscow,Liverpool,2600.7790184225137
365.0,Basel,Valencia,1104.2556926006607
366.0,Rome,Genk,1141.1633133265989
367.0,Madrid,Athens,6867.027780315794
368.0,Lyon,Milan,341.4332632111912
369.0,Amsterdam,Trondheim,1272.8526412012604
370.0,Kyiv,Rotterdam,1818.5729885714936
371.0,Newcastle,Turin,1285.0804275019402
372.0,Leverkusen,Haifa,3047.2231771990632
373.0,Piraeus,Manchester,2628.101457392083
374.0,Lens,A Coruña,1158.5655430970114
375.0,Milan,Munich,348.471098002077
376.0,Barcelona,Moscow,3016.058738214051
377.0,Bruges,Istanbul,2273.8836613644985
378.0,Turin,Rotterdam,798.1952033726983
379.0,Newcastle,Kyiv,2208.405860098126
380.0,Leverkusen,Piraeus,1958.484676556869
381.0,Haifa,Manchester,3732.084505902637
382.0,A Coruña,Munich,1636.0896345651624
383.0,Lens,Milan,727.6882936015145
384.0,Istanbul,Moscow,1747.4061354783614
385.0,Bruges,Barcelona,1095.1476720305354
386.0,Dortmund,London,528.1447595498703
387.0,Eindhoven,Auxerre,428.2906717534374
388.0,Liverpool,Valencia,1561.9913367814363
389.0,Athens,Genk,7092.03793497089
390.0,Madrid,Rome,1366.4466723813912
391.0,Lyon,Amsterdam,735.7024626420092
392.0,Milan,Trondheim,2001.2729656494016
393.0,Moscow,Basel,2246.3841993858887
394.0,London,Eindhoven,388.6584492945364
395.0,Auxerre,Dortmund,499.93841353108417
396.0,Valencia,Moscow,3319.4962960121875
397.0,Basel,Liverpool,991.7440302266448
398.0,Rome,Athens,8017.966811671791
399.0,Genk,Madrid,1371.8519343101575
400.0,Amsterdam,Milan,829.9927167681709
401.0,Trondheim,Lyon,1997.983003636391
402.0,Kyiv,Turin,1805.3731237461857
403.0,Rotterdam,Newcastle,527.8152408426556
404.0,Manchester,Leverkusen,686.1222677835639
405.0,Piraeus,Haifa,1176.4581502605452
406.0,Milan,A Coruña,1416.758845173037
407.0,Munich,Lens,684.7810753947023
408.0,Moscow,Bruges,2312.917105887683
409.0,Barcelona,Istanbul,2244.442507610628
410.0,Milan,Madrid,1190.414887628688
411.0,Moscow,Dortmund,2032.078540135216
412.0,A Coruña,Turin,1296.3739935611186
413.0,Basel,Manchester,957.6664061744884
414.0,Leverkusen,Barcelona,1134.402395442215
415.0,Newcastle,Milan,1305.7581453028793
416.0,Valencia,Amsterdam,1490.28642657284
417.0,Rome,London,1435.015631182323
418.0,Milan,Leverkusen,640.3086070353011
419.0,Amsterdam,Rome,1297.9158828558334
420.0,London,Valencia,1335.9963143559005
421.0,Barcelona,Newcastle,1536.7057492700455
422.0,Madrid,Moscow,3447.87078575145
,Paris,Trondheim,1695.2163705926057
,Moscow,Rome,2380.8100829710124
,Dortmund,Milan,684.675639285687
,Turin,Basel,276.9171276944951
,Leverkusen,Newcastle,724.2783147517713
